Date,Our Portfolio,S&P 500,SPESG
2024-01-04,234.53688504763176,131.79557009333982,136.86482510619476
2024-01-05,234.04439065083716,132.03618744408664,137.08231791601943
2024-01-08,236.53106598577014,133.89982928534536,139.19462393414514
2024-01-09,238.14129156338436,133.70193863660495,139.0067878634046
2024-01-10,239.69258312793693,134.45949006305642,139.74164947584825
2024-01-11,240.63854308049616,134.36926027218254,139.6625648382905
2024-01-12,242.83654366951146,134.47016830724564,139.6625648382905
2024-01-16,244.41439443988776,133.9684143575992,139.28030566252662
2024-01-17,242.2212635263344,133.2159275482503,138.46635941252526
2024-01-18,244.18640764369792,134.38892855486014,139.6065398489932
2024-01-19,243.73754687644688,136.0437269981972,141.34977081646161
2024-01-22,240.01251635538603,136.34225117700868,141.58703478567574
2024-01-23,239.2117524993508,136.74055792041597,142.12087620227229
2024-01-24,238.3797734381508,136.85158146443464,142.3185978527075
2024-01-25,239.60401972419137,137.57147080598227,142.99413593044196
2024-01-26,239.13629090315095,137.481803750342,142.86562339441065
2024-01-29,239.22535777872693,138.52072279360425,143.96956005751156
2024-01-30,241.42918615936145,138.43752033052584,143.7289975428856
2024-01-31,242.55321767631145,136.2078809834195,141.25091501951442
2024-02-01,245.42878165570053,137.90961978039041,143.10288736362472
2024-02-02,245.41222159683235,139.38310767650452,144.24965483437552
2024-02-05,244.59498823750678,138.9389860499307,143.98273412607722
2024-02-06,245.40621580209248,139.25999218758778,144.34852068786356
2024-02-07,245.79995928838576,140.40769755918382,145.40631794136192
2024-02-08,242.8386074109897,140.4878118411021,145.41290497564475
2024-02-09,244.4151471946312,141.29454083687224,146.51684163874572
2024-02-12,244.43681568085825,141.1604588735247,146.27299063524873
2024-02-13,243.39070231769458,139.23019467070506,144.2957942439781
2024-02-14,243.93560910141014,140.56398697638502,145.54142756821696
2024-02-15,245.11663057157077,141.3822451818196,146.1345824629818
2024-02-16,244.1398006324834,140.70311983158555,145.5348405339341
2024-02-20,244.51871855954215,139.85815229042834,144.54953082716978
2024-02-21,245.63976101643075,140.0349609557823,144.81316304659703
2024-02-22,248.62769291970315,142.9929032224414,148.03928125097752
2024-02-23,251.3310644180753,143.04265725224332,148.05576392149598
2024-02-26,251.09113433664714,142.50099027675856,147.44942490162455
2024-02-27,251.70708059224873,142.74414679868147,147.63396242695322
2024-02-28,256.1950452321026,142.5074548693204,147.2780614448616
2024-02-29,256.9436512304182,143.25263984588182,148.14143559333655
2024-03-01,259.1514193232359,144.39978248224426,149.17947174398637
2024-03-04,260.7243379380926,144.22747569875924,148.88948133088678
2024-03-05,260.0402833374769,142.75735048879724,147.35715613896022
2024-03-06,259.1370975336399,143.4912807606862,147.98655480709206
2024-03-07,260.2854943245921,144.96983327390294,149.4167357132005
2024-03-08,259.3032030648256,144.02339496244903,148.59949091778725
2024-03-11,260.2060704796634,143.86176642315323,148.678575555345
2024-03-12,261.1515859044481,145.47327542925024,150.40203536342395
2024-03-13,260.42003449187,145.19330778789873,150.14170168940854
2024-03-14,260.45214568632053,144.77644450703153,149.82205453722483
2024-03-15,260.8081623174177,143.83787076359872,148.80050105709347
2024-03-18,261.8355113434982,144.74664699014878,149.83194011691955
2024-03-19,264.68161317059247,145.56434246034976,150.71508542478395
2024-03-20,264.4028157247511,146.86047268112588,152.02662931801487
2024-03-21,266.9527545488833,147.33579180004173,152.38253030010648
2024-03-22,266.35249924793646,147.1291993430546,152.30343560600787
2024-03-25,265.4773669666593,146.67972486913655,151.90140527085453
2024-03-26,266.7932618419343,146.2690516758392,151.45653407151048
2024-03-27,268.43691625583057,147.53144523309723,152.76807796474137
2024-03-28,268.3405854605476,147.69616195355314,152.91307317129116
2024-04-01,267.6824147245965,147.39876324520893,152.66922216779417
2024-04-02,266.06708739633336,146.33173489076478,151.44994703722756
2024-04-03,266.8401383835186,146.4914007193677,151.58175811867076
2024-04-04,262.82904791303906,144.6845265104568,149.58150207913968
2024-04-05,264.48701767866,146.2904081642176,151.20279748831874
2024-04-08,262.83003863437693,146.23560324256272,151.19949894290684
2024-04-09,262.216264452947,146.4469858116604,151.40710617303682
2024-04-10,259.93306628685167,145.06203950071927,150.06261705185076
2024-04-11,260.89498473584837,146.14199704028707,151.36756385425792
2024-04-12,256.70464436972526,144.01553039442788,149.1629890734679
2024-04-15,256.193408609035,142.28426858556625,147.35385759354835
2024-04-16,255.76962947618344,141.99165998933265,147.05728014616594
2024-04-17,256.4759574807712,141.17086261272195,146.12140839441608
2024-04-18,254.73648865627757,140.8591347437948,145.70619393415615
2024-04-19,254.99358645784102,139.62541323295227,144.24965483437543
2024-04-22,256.1503181521747,140.84451735297023,145.58755692127866
2024-04-23,257.9377092782761,142.5296623231741,147.28465853568534
2024-04-24,260.1031456169042,142.56002257529045,147.39339991232723
2024-04-25,261.53126427513973,141.90760656077902,147.12647920402898
2024-04-26,262.56789550449844,143.356361557113,149.0806058904983
2024-04-29,263.34801719503724,143.8120123933513,149.677059330675
2024-04-30,261.29189392872104,141.54977557844367,147.19238977302103
2024-05-01,259.59462991618267,141.06348998509702,146.30264737433288
2024-05-02,260.69787769537436,142.35117917736883,147.65702207521366
2024-05-03,261.6518290623847,144.13864588334462,149.63751701189614
2024-05-06,265.25263181137467,145.62703940052492,151.1105287256544
2024-05-07,265.73978475837447,145.82267910833085,151.23245422740288
2024-05-08,266.095256246295,145.82182814285562,151.10394169137155
2024-05-09,268.6996440873842,146.5641994432489,151.85197737238087
2024-05-10,270.14644850263403,146.80594226446297,152.03321635229767
2024-05-13,270.2440111252669,146.770517395244,152.1749230699765
2024-05-14,270.2953179390735,147.48056573282807,152.87682939792413
2024-05-15,271.68273672242134,149.20843740503835,154.7189161623397
2024-05-16,272.28339718868796,148.89783500657842,154.61676181998067
2024-05-17,273.35209059368475,149.07126726053065,154.77493109509615
2024-05-20,273.4250169521563,149.2078746698047,154.96606571124855
2024-05-21,270.90411771358475,149.58117400843983,155.60206147020412
2024-05-22,270.13774250880664,149.17638894722108,155.022080644005
2024-05-23,267.7994276961184,148.07534942426685,154.1521194612472
2024-05-24,269.444790984589,149.1120312518442,155.31536960251645
2024-05-28,267.2521599348771,149.14913060151443,155.5822903108147
2024-05-29,267.7687182008088,148.05034201949465,154.49482626169132
